,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
13,0.516,-1.4210854715202004e-14,1.4210854715202004e-14,0.3200368583202362,0.509897432725302,1,0.0,1,1,decoder_large_ttt,ttt,no,decoder
14,0.54,0.05561496317386627,0.06734853237867355,0.2721298336982727,0.6640294585653479,2,3.0,1,1,decoder_large_ttt,ttt,no,decoder
15,0.532,0.024314600974321365,0.02492835372686386,0.2477022409439087,0.688540404556776,3,5.0,1,1,decoder_large_ttt,ttt,no,decoder
16,0.532,0.01676168479025364,0.017079902812838554,0.27472546696662903,0.4068516226386256,4,8.0,1,1,decoder_large_ttt,ttt,no,decoder
17,0.54,0.018165692687034607,0.018165692687034607,0.2804088294506073,0.6805138068841776,5,11.0,1,1,decoder_large_ttt,ttt,no,decoder
18,0.524,0.19791530072689056,0.2821660041809082,0.5500650405883789,0.6070780709894995,6,14.0,1,1,decoder_large_ttt,ttt,no,decoder
19,0.552,0.264915406703949,0.3367580771446228,0.573763906955719,0.6199907625075476,7,16.0,1,1,decoder_large_ttt,ttt,no,decoder
20,0.552,0.3127899765968323,0.38630571961402893,0.6294043064117432,0.6593030434687495,8,19.0,1,1,decoder_large_ttt,ttt,no,decoder
21,0.512,0.42006731033325195,0.5060104727745056,0.681709349155426,0.6559106337966877,9,22.0,2,1,decoder_large_ttt,ttt,no,decoder
22,0.556,0.12178275734186172,0.1509709656238556,0.3986873924732208,0.6503544080145931,10,24.0,2,1,decoder_large_ttt,ttt,no,decoder
23,0.584,0.24486848711967468,0.3173513412475586,0.5828887224197388,0.6573245518922676,11,27.0,2,1,decoder_large_ttt,ttt,no,decoder
24,0.6,0.277965784072876,0.3389663100242615,0.5576258897781372,0.649313230407028,12,30.0,2,1,decoder_large_ttt,ttt,no,decoder
25,0.624,0.23620425164699554,0.2825154960155487,0.5257510542869568,0.6813540104118513,13,32.0,2,1,decoder_large_ttt,ttt,no,decoder
26,0.628,0.240787535905838,0.2911844551563263,0.5931907892227173,0.6493060117176308,14,35.0,2,2,decoder_large_ttt,ttt,no,decoder
27,0.628,0.23790739476680756,0.2634619474411011,0.5042747855186462,0.6734819560452425,15,38.0,2,2,decoder_large_ttt,ttt,no,decoder
28,0.656,0.30650752782821655,0.34567177295684814,0.5847961902618408,0.6966250851817387,16,41.0,2,2,decoder_large_ttt,ttt,no,decoder
29,0.636,0.3700944185256958,0.41600602865219116,0.6166144609451294,0.6957866065610447,17,43.0,2,2,decoder_large_ttt,ttt,no,decoder
30,0.64,0.44905391335487366,0.5048474669456482,0.6674104332923889,0.6865160066686677,18,46.0,3,2,decoder_large_ttt,ttt,no,decoder
31,0.628,0.40591534972190857,0.5167233943939209,0.6647040843963623,0.6838237681939991,19,49.0,3,2,decoder_large_ttt,ttt,no,decoder
32,0.644,0.4141235053539276,0.5189248323440552,0.6907755136489868,0.6808403658035351,20,51.0,3,2,decoder_large_ttt,ttt,no,decoder
33,0.632,0.4891778230667114,0.585695207118988,0.7626564502716064,0.6982612803848879,21,54.0,3,2,decoder_large_ttt,ttt,no,decoder
