,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune
0,0.5478723404255319,0.0,0.0,0.3200370967388153,0.5098974035082158,1,0.0,1,1,llama8b_ttt,ttt,no
1,0.526595744680851,0.7732580900192261,0.8030462265014648,0.871040940284729,0.6961853469235696,2,3.0,1,1,llama8b_ttt,ttt,no
2,0.5265957446808511,0.7299799919128418,0.8032461404800415,0.8771133422851562,0.7033115797868976,3,6.0,1,1,llama8b_ttt,ttt,no
3,0.5797872340425532,0.6958969831466675,0.7057735919952393,0.8130671381950378,0.6813767293062366,4,9.0,1,1,llama8b_ttt,ttt,no
4,0.5106382978723405,0.00032560271210968494,0.00032560271210968494,0.030127275735139847,0.21724932636697517,5,12.0,1,1,llama8b_ttt,ttt,no
5,0.5159574468085106,0.00040859211003407836,0.00040859211003407836,0.021292228251695633,0.7165519152363599,6,15.0,1,1,llama8b_ttt,ttt,no
6,0.5159574468085106,0.0002247048105346039,0.0002247048105346039,0.018269356340169907,0.5790508768743171,7,18.0,1,1,llama8b_ttt,ttt,no
7,0.5159574468085106,0.00010611029574647546,0.00010611029574647546,0.012564139440655708,0.9239246241355432,8,21.0,2,1,llama8b_ttt,ttt,no
8,0.5159574468085106,0.00012665899703279138,0.00012665899703279138,0.013476393185555935,0.9182524162654068,9,24.0,2,1,llama8b_ttt,ttt,no
9,0.5159574468085106,0.00016628988669253886,0.00016628988669253886,0.01730096898972988,0.7080763197974391,10,27.0,2,1,llama8b_ttt,ttt,no
10,0.5106382978723405,0.00024216754536610097,0.00024216754536610097,0.020462652668356895,0.6165040564652436,11,30.0,2,1,llama8b_ttt,ttt,no
11,0.5159574468085106,0.00017875246703624725,0.0001930359867401421,0.01698180101811886,0.13417970015435848,12,33.0,2,1,llama8b_ttt,ttt,no
12,0.5159574468085106,0.000400153745431453,0.000400153745431453,0.020652558654546738,0.11964264930994266,13,36.0,2,1,llama8b_ttt,ttt,no
13,0.5904255319148937,0.8176423907279968,0.9368096590042114,0.9696304202079773,0.7043015543049358,14,39.0,2,1,llama8b_ttt,ttt,no
14,0.5106382978723404,0.00036747840931639075,0.00036747840931639075,0.019029732793569565,0.8982979091100911,15,42.0,2,1,llama8b_ttt,ttt,no
15,0.5159574468085106,0.0006964569329284132,0.0006964569329284132,0.026146212592720985,0.18277852097752242,16,45.0,3,1,llama8b_ttt,ttt,no
16,0.5957446808510638,0.5397923588752747,0.7973032593727112,0.879479169845581,0.6990646222056348,17,48.0,3,1,llama8b_ttt,ttt,no
17,0.601063829787234,0.5671098232269287,0.7603764533996582,0.8285693526268005,0.7054472757437207,18,52.0,3,1,llama8b_ttt,ttt,no
18,0.6223404255319149,0.5178675055503845,0.6762732267379761,0.8747391700744629,0.7060455920529776,19,55.0,3,1,llama8b_ttt,ttt,no
