accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index
0.5478723404255319,0.0,0.0,0.32003387808799744,0.5098978008641644,1,0.0,1,1,gemma2b_ttt
0.5106382978723404,0.08808130025863647,0.11980836093425751,0.45970845222473145,0.5680885529302868,2,4.0,1,1,gemma2b_ttt
0.5478723404255319,0.07508673518896103,0.07508673518896103,0.3287019431591034,0.6370148896058532,3,7.0,1,1,gemma2b_ttt
0.5425531914893618,0.03792807087302208,0.03792807087302208,0.19837015867233276,0.6442077829632173,4,11.0,1,1,gemma2b_ttt
0.5851063829787234,0.397206574678421,0.6425526142120361,0.7836964726448059,0.675389383313634,5,15.0,1,1,gemma2b_ttt
0.5638297872340425,0.3480488657951355,0.46434640884399414,0.6666296124458313,0.702134043682798,6,19.0,2,1,gemma2b_ttt
0.5957446808510638,0.05066826194524765,0.05066826194524765,0.20781612396240234,0.7055603109682383,7,22.0,2,1,gemma2b_ttt
0.5691489361702128,0.027965432032942772,0.027965432032942772,0.15708844363689423,0.7064758874093218,8,26.0,2,1,gemma2b_ttt
0.5851063829787234,0.05941636860370636,0.07288046181201935,0.17843590676784515,0.6903695252801204,9,30.0,2,1,gemma2b_ttt
0.574468085106383,0.7746843099594116,0.874030590057373,0.9156155586242676,0.6989336282593456,10,33.0,2,1,gemma2b_ttt
0.574468085106383,0.827552318572998,0.868370771408081,0.9423059821128845,0.7047802460506948,11,37.0,2,1,gemma2b_ttt
0.5691489361702128,0.8221108913421631,0.9101311564445496,0.9683991074562073,0.7056857845544238,12,41.0,2,1,gemma2b_ttt
0.5691489361702128,0.7480998039245605,0.860552191734314,0.9634767174720764,0.7053471539755842,13,44.0,3,1,gemma2b_ttt
0.5638297872340425,0.8667949438095093,0.9262040257453918,0.9626557230949402,0.7018806761765793,14,48.0,3,1,gemma2b_ttt
0.5638297872340425,0.8686724901199341,0.9178882837295532,0.9740546345710754,0.7051801985895504,15,52.0,3,1,gemma2b_ttt
0.5585106382978724,0.7316277027130127,0.9102910161018372,0.9716201424598694,0.7044344615324316,16,56.0,3,1,gemma2b_ttt
0.5691489361702128,0.7397472858428955,0.8918153047561646,0.938569962978363,0.6931807881405407,17,59.0,3,1,gemma2b_ttt
0.5904255319148937,0.7847867608070374,0.8947282433509827,0.9629960656166077,0.7040002189202986,18,63.0,3,1,gemma2b_ttt
0.5904255319148937,0.6622657179832458,0.8371995687484741,0.9260185360908508,0.70390149387926,19,67.0,3,1,gemma2b_ttt
0.5957446808510638,0.5410315990447998,0.8286949992179871,0.9073878526687622,0.7028296948015761,20,70.0,4,1,gemma2b_ttt
0.574468085106383,0.6155691742897034,0.7660485506057739,0.8831369876861572,0.700426744857821,21,74.0,4,1,gemma2b_ttt
0.5319148936170213,0.2822585701942444,0.5624388456344604,0.778714656829834,0.6963330495309739,22,78.0,4,1,gemma2b_ttt
0.5265957446808511,0.22833025455474854,0.5161260366439819,0.7707602977752686,0.6848274736770149,23,81.0,4,1,gemma2b_ttt
0.6063829787234043,0.5491966605186462,0.6122851371765137,0.7716183662414551,0.6921613649107521,24,85.0,4,1,gemma2b_ttt
0.5531914893617021,0.4592294991016388,0.6619495749473572,0.8882607221603394,0.6960779754728217,25,89.0,4,1,gemma2b_ttt
0.5531914893617021,0.49296194314956665,0.7784981727600098,0.859210729598999,0.696619265755575,26,93.0,4,1,gemma2b_ttt
0.5638297872340425,0.4453527629375458,0.6012852787971497,0.8371136784553528,0.6986986696338591,27,96.0,4,1,gemma2b_ttt
0.5478723404255319,0.0,0.0,0.32003387808799744,0.5098978008641644,1,0.0,1,1,gemma2b_not
0.526595744680851,0.08998538553714752,0.11249857395887375,0.42878007888793945,0.570651803117432,2,4.0,1,1,gemma2b_not
0.5797872340425532,0.36735302209854126,0.3873547315597534,0.642851710319519,0.6162007174538651,3,7.0,1,1,gemma2b_not
0.5851063829787234,0.24352790415287018,0.30849283933639526,0.4872318506240845,0.702092385181172,4,11.0,1,1,gemma2b_not
0.5531914893617021,0.5010331273078918,0.5567371249198914,0.7425670027732849,0.6727363541837359,5,15.0,1,1,gemma2b_not
0.5797872340425532,0.4243028163909912,0.549365222454071,0.7421665191650391,0.6733810106337557,6,19.0,2,1,gemma2b_not
0.5372340425531915,0.00023102616250980645,0.00023102616250980645,0.015515357255935669,0.6976731537121942,7,22.0,2,1,gemma2b_not
0.5425531914893617,0.00027863634750247,0.0003305423306301236,0.017090588808059692,0.6969986809999925,8,26.0,2,1,gemma2b_not
0.5212765957446808,8.865716517902911e-05,8.865716517902911e-05,0.0080628776922822,0.6880997720823092,9,30.0,2,1,gemma2b_not
0.5106382978723404,9.948554361471906e-05,0.0001404354552505538,0.012963556684553623,0.7033770070675548,10,33.0,2,1,gemma2b_not
0.5053191489361701,0.00017895847850013524,0.00018990029639098793,0.006700471043586731,0.6749199431258917,11,37.0,2,1,gemma2b_not
0.5106382978723404,0.00012234965106472373,0.00016739004058763385,0.013382925651967525,0.7012182790690455,12,41.0,2,1,gemma2b_not
0.5053191489361701,9.105827484745532e-05,0.0002039106620941311,0.010029856115579605,0.6800399461112775,13,44.0,3,1,gemma2b_not
0.5159574468085106,0.00013999169459566474,0.00034554325975477695,0.017457911744713783,0.6946260114570756,14,48.0,3,1,gemma2b_not
0.5106382978723405,0.0002809609577525407,0.0005184048786759377,0.018010225147008896,0.6511907778386717,15,52.0,3,1,gemma2b_not
